presidente,año,partido,estado_de_origen
Lázaro Cárdenas del Río,1934,Partido Nacional Revolucionario,Michoacán de Ocampo
Manuel Ávila Camacho,1940,Partido de la Revolución Mexicana,Puebla de Zaragoza
Miguel Alemán Valdés,1946,Partido Revolucionario Institucional,Veracruz de Ignacio de la Llave
Adolfo Ruiz Cortines,1952,Partido Revolucionario Institucional,Veracruz de Ignacio de la Llave
Adolfo López Mateos,1958,Partido Revolucionario Institucional,Estado de México
Gustavo Díaz Ordaz,1964,Partido Revolucionario Institucional,Puebla de Zaragoza
Luis Echeverría Álvarez,1970,Partido Revolucionario Institucional,Distrito Federal
José López Portillo y Pacheco,1976,Partido Revolucionario Institucional,Distrito Federal
Miguel de la Madrid Hurtado,1982,Partido Revolucionario Institucional,Colima
Carlos Salinas de Gortari,1988,Partido Revolucionario Institucional,Distrito Federal
Ernesto Zedillo Ponce de León,1994,Partido Revolucionario Institucional,Distrito Federal
Vicente Fox Quesada,2000,Partido Acción Nacional,Guanajuato
Felipe Calderón Hinojosa,2006,Partido Acción Nacional,Michoacán de Ocampo
Enrique Peña Nieto,2012,Partido Revolucionario Institucional,Estado de México
Andrés Manuel López Obrador,2018,Movimiento Regeneración Nacional,Tabasco
